Front;Back
"<b>Fehler</b>: Reihenfolge bei \(D=T^{-1}AT\)?";"Die \(i\)-te Spalte von \(T\) muss zum \(i\)-ten Diagonaleintrag von \(D\) passen.<br><i>(Kap. 2)</i>"
"<b>Fehler</b>: Vorzeichen im charakteristischen Polynom?";"\(\det(A-XE)=(-1)^n\det(XE-A)\).<br>Konvention \(\chi=\det(XE-A)\) (normiert) durchhalten.<br><i>(Kap. 2)</i>"
"<b>Transfer</b>: Aufgabe ""Für welche \(t\) ist \(A\) diagonalisierbar?"" — Strategie?";"\(\chi\) und Eigenwerte bestimmen, dann Fallunterscheidung nach \(\dim\mathrm{Eig}(\lambda)\) (geom = alg?).<br><i>(Kap. 2)</i>"
"<b>Transfer</b>: \(A\) hat \(n\) verschiedene Eigenwerte in \(k\). Was folgt sofort?";"\(A\) ist diagonalisierbar (hinreichendes Kriterium).<br><i>(Kap. 2)</i>"
"Eigenschaft: \(\chi\) und Ähnlichkeit?";"\(\chi\) ist ähnlichkeitsinvariant: \(A\sim B\Rightarrow\chi_A=\chi_B\).<br><i>(Kap. 2)</i>"
"Eigenschaft: Spur/Determinante und Eigenwerte (falls \(\chi\) zerfällt)?";"\(\mathrm{tr}(A)=\sum\lambda_i\), \(\det(A)=\prod\lambda_i\) (mit Vielfachheit).<br><i>(Kap. 2)</i>"
"<b>Verbindung</b>: Wie verfeinert Kapitel 3 das Diagonalisierbarkeitskriterium?";"Über das Minimalpolynom: \(f\) diagonalisierbar \(\Leftrightarrow\mu_f\) quadratfrei (verschiedene Linearfaktoren).<br><i>(Kap. 2)</i>"
"Was bedeutet <b>Einsetzen</b> \(P(f)\) für \(P=a_nX^n+\dots+a_0\)?";"\(P(f)=a_nf^n+\dots+a_1f+a_0\,\mathrm{id}_V\in\mathrm{End}(V)\), mit \(f^0=\mathrm{id}_V\).<br><i>(Kap. 3)</i>"
"Was ist der <b>Einsetzungshomomorphismus</b> \(\psi_f\)?";"\(\psi_f\colon k[X]\to\mathrm{End}(V),\ P\mapsto P(f)\) — ein <b>Ringhomomorphismus</b> mit kommutativem Bild.<br><i>(Kap. 3)</i>"
"Wie ist das <b>Minimalpolynom</b> \(\mu_f\) definiert?";"Das <b>normierte</b> Polynom <b>minimalen Grades</b> \(\ge1\) mit \(\mu_f(f)=0\).<br><i>(Kap. 3)</i>"
"Formel: \((P\cdot Q)(f)=\)?";"\((P\cdot Q)(f)=P(f)\circ Q(f)\).<br>(Und \((P+Q)(f)=P(f)+Q(f)\).)<br><i>(Kap. 3)</i>"
"<b>Motivation</b>: Was leistet \(\mu_f\) gegenüber \(\chi_f\)?";"Es fasst Diagonalisierbarkeit in <b>ein</b> Polynom: \(f\) diagonalisierbar \(\Leftrightarrow\mu_f\) quadratfrei.<br>Der Exponent misst die Bösartigkeit eines Eigenwerts (größter Jordan-Block).<br><i>(Kap. 3)</i>"
"<b>Intuition</b>: Was ist \(\mu_f\) anschaulich?";"Die <b>kleinste algebraische Gleichung</b>, die \(f\) erfüllt (wie \(x^2-2=0\) für \(\sqrt2\)); alle anderen Annihilatoren sind Vielfache.<br><i>(Kap. 3)</i>"
"<b>Intuition</b>: Was besagt Cayley-Hamilton anschaulich?";"Setzt man \(f\) in sein eigenes charakteristisches Polynom ein, entsteht der Nulloperator — \(f\) löscht sich selbst aus.<br><i>(Kap. 3)</i>"
"Eigenschaft: Was ist \(\{P\mid P(f)=0\}\) für eine Struktur?";"Ein <b>Ideal</b> in \(k[X]\), erzeugt von \(\mu_f\).<br><i>(Kap. 3)</i>"
"Eigenschaft: Teilbarkeit \(\mu_f\) und \(\chi_f\)?";"\(\mu_f\mid\chi_f\) (folgt aus Cayley-Hamilton), also \(\deg\mu_f\le n\).<br><i>(Kap. 3)</i>"
"Satz: Existenz eines Annihilators \(P\neq0\) mit \(P(f)=0\)?";"Existiert stets (bei \(\dim V=d<\infty\)).<br>Grund: \(\dim\mathrm{End}(V)=d^2\), also sind \(\mathrm{id},f,\dots,f^{d^2}\) linear abhängig.<br><i>(Kap. 3)</i>"
"<b>Kernidee</b>: Beweis der Existenz eines Annihilators?";"Die \(d^2+1\) Operatoren \(\mathrm{id},f,\dots,f^{d^2}\) liegen im \(d^2\)-dim. Raum \(\mathrm{End}(V)\) \(\Rightarrow\) linear abhängig \(\Rightarrow\) Relation \(=P\neq0\) mit \(P(f)=0\).<br><i>(Kap. 3)</i>"
"Satz: ggT zweier Annihilatoren?";"\(P(f)=Q(f)=0\Rightarrow G(f)=0\) für \(G=\gcd(P,Q)\).<br>(Beweis: Bézout \(G=AP+BQ\), einsetzen.)<br><i>(Kap. 3)</i>"
"Satz: Charakterisierung \(P(f)=0\)?";"\(P(f)=0\ \Longleftrightarrow\ \mu_f\mid P\).<br><i>(Kap. 3)</i>"
"<b>Kernidee</b>: Beweis \(P(f)=0\Rightarrow\mu_f\mid P\)?";"Division: \(P=A\mu_f+R\), \(\deg R<\deg\mu_f\). Dann \(0=P(f)=R(f)\); Minimalität \(\Rightarrow R=0\).<br><i>(Kap. 3)</i>"
"Satz von <b>Cayley-Hamilton</b>?";"\(\chi_f(f)=0\) (jede Abbildung erfüllt ihr char. Polynom).<br>Gilt über jedem Körper, ohne dass \(\chi\) zerfallen muss.<br><i>(Kap. 3)</i>"
"<b>Kernidee</b>: Beweis Cayley-Hamilton (zerfallender Fall)?";"<b>Fahnenargument</b>: obere Dreiecksbasis, Fahne \(U_i\); \((f-\lambda_i)(U_i)\subseteq U_{i-1}\); \(\prod(f-\lambda_i)\) schiebt \(V\to U_{n-1}\to\dots\to\{0\}\).<br><i>(Kap. 3)</i>"
"<b>Kernidee</b>: Cayley-Hamilton für beliebigen Körper?";"Zu \(L\supseteq k\) übergehen, über dem \(\chi_A\) zerfällt; dort gilt \(\chi_A(A)=0\) (Fahnenargument); die Matrixgleichung ist körperunabhängig, gilt also auch über \(k\).<br><i>(Kap. 3)</i>"
"Satz: Nullstellen von \(\mu_f\) und \(\chi_f\)?";"Gleich: \(\lambda\) Eigenwert \(\Leftrightarrow\chi_f(\lambda)=0\Leftrightarrow\mu_f(\lambda)=0\).<br><i>(Kap. 3)</i>"
"Satz: Gestalt von \(\mu_f\) bei zerfallendem \(\chi_f\)?";"\(\mu_f=\prod_i(X-\lambda_i)^{m_i}\) mit \(1\le m_i\le n_i\).<br>\(m_i=\) Größe des größten Jordan-Blocks zu \(\lambda_i\).<br><i>(Kap. 3)</i>"
"Satz: <b>Diagonalisierbarkeit via \(\mu_f\)</b>?";"\(f\) diagonalisierbar \(\Leftrightarrow\mu_f\) zerfällt in <b>paarweise verschiedene</b> Linearfaktoren (\(\mu_f\) quadratfrei).<br><i>(Kap. 3)</i>"
"<b>Kernidee</b>: Beweis diagonalisierbar \(\Rightarrow\mu_f\) quadratfrei?";"\(P=\prod_j(X-\lambda_j)\) über verschiedene EW annihiliert jeden Eigenvektor (ein Faktor \(=0\)), also \(P(f)=0\), also \(\mu_f\mid P\).<br><i>(Kap. 3)</i>"
"<b>Kernidee</b>: Beweis \(\mu_f\) quadratfrei \(\Rightarrow\) diagonalisierbar?";"Bézout-Partition \(\sum A_jQ_j=1\) mit \(Q_j=\prod_{i\neq j}(X-\lambda_i)\); \(\mathrm{id}=\sum A_j(f)Q_j(f)\) zerlegt jedes \(v\) in Eigenvektoren \(\Rightarrow V=\bigoplus\mathrm{Eig}\).<br><i>(Kap. 3)</i>"
"<b>Algorithmus</b> A: \(\mu_A\) über Teiler von \(\chi_A\)?";"\(\chi_A\) faktorisieren; je \(\lambda_i\) kleinstes \(m_i\) mit stabilisierter Kernkette \(\ker(A-\lambda_iE)^{m}\); \(\mu_A=\prod(X-\lambda_i)^{m_i}\).<br><i>(Kap. 3)</i>"
"<b>Algorithmus</b> B: \(\mu_A\) über lineare Abhängigkeit?";"Kleinstes \(m\) finden, für das \(\mathrm{id},A,\dots,A^m\) linear abhängig sind; die Relation <b>ist</b> \(\mu_A\).<br><i>(Kap. 3)</i>"
"<b>Vergleich</b>: \(\mu\)-Algorithmus A vs. B?";"A schneller, braucht aber die Faktorisierung von \(\chi_A\).<br>B faktorisierungsfrei, aber rechenintensiver (\(O(n^4)\)).<br><i>(Kap. 3)</i>"
"<b>Anwendung</b>: Wie invertiert man \(A\) mit Cayley-Hamilton?";"Aus \(\chi_A(A)=0\) mit \(a_0\neq0\): \(A\cdot(\dots)=-a_0E\Rightarrow A^{-1}\) als Polynom in \(A\).<br>Bsp: \(A^2-5A-2E=0\Rightarrow A^{-1}=\tfrac12(A-5E)\).<br><i>(Kap. 3)</i>"
"<b>Anwendung</b>: Wie reduziert man \(A^m\) mit Cayley-Hamilton?";"\(\chi_A(A)=0\) liefert \(A^n\) als Kombination niedrigerer Potenzen; iterativ wird jedes \(A^m\) auf \(\deg<n\) reduziert.<br><i>(Kap. 3)</i>"
"Beispiel: \(A=\mathrm{diag}(2,2,5)\) — \(\chi_A\) und \(\mu_A\)?";"\(\chi_A=(X-2)^2(X-5)\), \(\mu_A=(X-2)(X-5)\) (quadratfrei \(\Rightarrow\) diagonalisierbar).<br><i>(Kap. 3)</i>"
"Beispiel: Jordan-Block \(\begin{psmallmatrix}3&1\\0&3\end{psmallmatrix}\) — \(\mu_A\)?";"\(\mu_A=(X-3)^2=\chi_A\); nicht quadratfrei \(\Rightarrow\) nicht diagonalisierbar.<br><i>(Kap. 3)</i>"
"<b>Klausurfalle</b>: Der Fehl-Beweis \(\chi_A(A)=\det(AE-A)=0\)?";"<b>Falsch!</b> Mischt Skalar- und Matrix-Einsetzung.<br>\(\chi_A(A)\) heißt das <i>Polynom</i> \(A^n+\dots+a_0E\) bilden, nicht \(X:=A\) in \(\det(XE-A)\).<br><i>(Kap. 3)</i>"
"<b>Fehler</b>: Gilt immer \(\mu_f=\chi_f\)?";"Nein. Bsp: \(\mathrm{diag}(2,2,2)\): \(\chi=(X-2)^3\), \(\mu=(X-2)\).<br>Gleichheit nur, wenn zu jedem EW genau ein Jordan-Block.<br><i>(Kap. 3)</i>"
"<b>Fehler</b>: Teilbarkeitsrichtung bei \(\mu_f\)?";"\(P(f)=0\Rightarrow\mu_f\mid P\) (nicht \(P\mid\mu_f\)). \(\mu_f\) teilt jeden Annihilator.<br><i>(Kap. 3)</i>"
"<b>Gegenbeispiel</b>: \(\mu\) zerfällt nicht über \(k\)?";"\(\begin{psmallmatrix}0&-1\\1&0\end{psmallmatrix}\) über \(\mathbb{R}\): \(\mu=X^2+1\) irreduzibel \(\Rightarrow\) nicht diagonalisierbar. Über \(\mathbb{C}\): \((X-i)(X+i)\), diagonalisierbar.<br><i>(Kap. 3)</i>"
"<b>Vergleich</b>: \(\chi_f\) vs. \(\mu_f\) — Exponent von \((X-\lambda)\)?";"\(\chi_f\): algebraische Vielfachheit \(n_\lambda\).<br>\(\mu_f\): Größe des <b>größten</b> Jordan-Blocks \(m_\lambda\).<br><i>(Kap. 3)</i>"
"<b>Vergleich</b>: \(\chi_f\) vs. \(\mu_f\) — Diagonalisierbarkeitskriterium?";"\(\chi\): zerfällt <b>und</b> geom = alg.<br>\(\mu\): <b>quadratfrei</b> (und zerfällt).<br><i>(Kap. 3)</i>"
"<b>Transfer</b>: Schnellster Weg, Diagonalisierbarkeit zu prüfen, wenn \(\mu_A\) leicht bestimmbar ist?";"\(\mu_A\) quadratfrei (verschiedene Linearfaktoren)? \(\Rightarrow\) diagonalisierbar — spart die Eigenraumrechnung.<br><i>(Kap. 3)</i>"
"<b>Transfer</b>: Du sollst \(A^{100}\) berechnen, \(A\) klein. Welches Werkzeug?";"Cayley-Hamilton: \(\chi_A(A)=0\) umstellen, \(A^{100}\) auf \(\deg<n\) reduzieren (oder diagonalisieren, falls möglich).<br><i>(Kap. 3)</i>"
"<b>Verbindung</b>: Was ist der Exponent \(m_\lambda\) in \(\mu_f\) in JNF-Sprache?";"Die Größe des <b>größten</b> Jordan-Blocks zum Eigenwert \(\lambda\).<br><i>(Kap. 3)</i>"
"Wann heißt \(g\in\mathrm{End}(V)\) <b>nilpotent</b>?";"\(g^N=0\) für ein \(N\in\mathbb{N}\). Kleinstes solches \(N\) = Nilpotenzindex.<br><i>(Kap. 4)</i>"
"Was ist der <b>Hauptraum</b> \(\mathrm{Haupt}(f,\lambda)\)?";"\(\{v\mid\exists\ell:\ (f-\lambda\,\mathrm{id})^\ell v=0\}=\bigcup_\ell\ker((f-\lambda\,\mathrm{id})^\ell)\).<br>Elemente \(\neq0\): verallgemeinerte Eigenvektoren.<br><i>(Kap. 4)</i>"
"Wann bilden \(U_1,\dots,U_k\) eine <b>direkte Summe</b> \(V=\bigoplus U_j\)?";"\(V=\sum U_j\) und aus \(u_1+\dots+u_k=0\) (\(u_j\in U_j\)) folgt alle \(u_j=0\).<br>Dann ist Vereinigung der Basen eine Basis von \(V\).<br><i>(Kap. 4)</i>"
"Was ist ein <b>Jordan-Block</b> \(J^{(t)}(\lambda)\)?";"\(t\times t\)-Matrix mit \(\lambda\) auf der Diagonale und \(1\) auf der oberen Nebendiagonale, sonst \(0\).<br><i>(Kap. 4)</i>"
"Wann ist eine Matrix in <b>Jordan-Normalform</b>?";"Blockdiagonal aus Jordan-Blöcken \(J^{(t)}(\lambda)\).<br><i>(Kap. 4)</i>"
"Notation: Was bedeutet \(d_k(\lambda)\)?";"\(d_k(\lambda)=\dim\ker((f-\lambda\,\mathrm{id})^k)\); \(d_0:=0\).<br><i>(Kap. 4)</i>"
"<b>Motivation</b>: Wozu die Jordan-Normalform?";"Beste Normalform, wenn Diagonalisierung scheitert; <b>vollständige Ähnlichkeitsinvariante</b> (\(A\sim B\Leftrightarrow\) gleiche JNF); erlaubt \(A^m,e^{tA}\) trotz defekter EW.<br><i>(Kap. 4)</i>"
"<b>Intuition</b>: Was ist ein verallgemeinerter Eigenvektor?";"Ein Eigenvektor mit Verzögerung: \((f-\lambda)^\ell v=0\) erst nach \(\ell\) Schritten (statt sofort).<br><i>(Kap. 4)</i>"
"<b>Intuition</b>: Was ist eine Jordan-Kette?";"\(v_t\xrightarrow{f-\lambda}v_{t-1}\to\dots\to v_1\xrightarrow{f-\lambda}0\); entspricht genau <b>einem</b> Block \(J^{(t)}(\lambda)\). Unten steht ein echter Eigenvektor.<br><i>(Kap. 4)</i>"
"<b>Intuition</b> (Würfelturm): Was zählen \(n_\lambda\), \(d_1\), \(m_\lambda\)?";"\(n_\lambda\) = <b>Würfel</b> (alg. Vielfachheit, \(\dim\mathrm{Haupt}\)).<br>\(d_1\) = <b>Stapel</b> (Blockzahl = geom. Vielfachheit).<br>\(m_\lambda\) = <b>Höhe</b> des höchsten Stapels (größter Block).<br><i>(Kap. 4)</i>"
"<b>Warum</b> zerfällt das JNF-Problem in zwei leichte Teile?";"(1) Hauptraumzerlegung \(V=\bigoplus\mathrm{Haupt}(f,\lambda_j)\) (Bézout).<br>(2) Auf \(\mathrm{Haupt}\) ist \((f-\lambda_j)\) <b>nilpotent</b> \(\Rightarrow\) nilpotente Normalform.<br><i>(Kap. 4)</i>"
"Eigenschaft: Verhalten der Kernkette \(\ker(g^k)\)?";"Wächst: \(\ker(g)\subseteq\ker(g^2)\subseteq\dots\) und <b>stabilisiert</b> (spätestens bei \(k=\dim V\)).<br><i>(Kap. 4)</i>"
"Lemma: Wenn \(\ker(g^m)=\ker(g^{m+1})\)?";"Dann \(\ker(g^m)=\ker(g^{m+j})\) für alle \(j\) (die Kette bleibt stehen).<br><i>(Kap. 4)</i>"
"Eigenschaft: \(\mathrm{Eig}\) vs. \(\mathrm{Haupt}\)?";"\(\mathrm{Eig}(f,\lambda)\subseteq\mathrm{Haupt}(f,\lambda)\) (Gleichheit nur bei Blockgröße \(1\)).<br><i>(Kap. 4)</i>"
"Eigenschaft: \((f-\lambda_j)\) auf \(\mathrm{Haupt}(f,\lambda_j)\)?";"Ist <b>nilpotent</b>; \(\dim\mathrm{Haupt}(f,\lambda_j)=n_j\) (alg. Vielfachheit).<br><i>(Kap. 4)</i>"
"Satz <b>Hauptraumzerlegung</b>?";"Zerfällt \(\chi_f\), so \(V=\bigoplus_j\mathrm{Haupt}(f,\lambda_j)\), \(\dim\mathrm{Haupt}(f,\lambda_j)=n_j\), \(\mathrm{Haupt}=\ker((f-\lambda_j)^{n_j})\).<br><i>(Kap. 4)</i>"
"<b>Kernidee</b>: Beweis der Hauptraumzerlegung?";"\(P_j=\prod_{i\neq j}(X-\lambda_i)^{n_i}\), \(\gcd=1\), Bézout: \(\mathrm{id}=\sum A_j(f)P_j(f)\). Bild von \(P_j(f)\) liegt in \(\mathrm{Haupt}(f,\lambda_j)\) (via Cayley-Hamilton).<br><i>(Kap. 4)</i>"
"Lemma: Nilpotente Jordan-Kette linear unabhängig?";"Ist \(g^{k-1}(v)\neq0\), \(g^k(v)=0\), so sind \(v,g(v),\dots,g^{k-1}(v)\) linear unabhängig.<br><i>(Kap. 4)</i>"
"Satz: Normalform <b>nilpotenter</b> Endomorphismen?";"\(g\) nilpotent \(\Rightarrow\) Basis aus Jordan-Ketten; Matrix blockdiagonal aus \(J^{(a_i)}(0)\).<br><i>(Kap. 4)</i>"
"<b>Kernidee</b>: Beweis der nilpotenten Normalform?";"Kernkette \(\{0\}\subsetneq\ker g\subsetneq\dots\subsetneq V\); \(g\) induziert injektive Abb. zwischen den Schichten \(\Rightarrow\delta_i=d_i-d_{i-1}\) fallend; Basis top-down aufbauen.<br><i>(Kap. 4)</i>"
"Satz: <b>Existenz</b> der Jordan-Normalform?";"Zerfällt \(\chi_f\), besitzt \(f\) eine JNF. Über \(\mathbb{C}\) (algebraisch abgeschlossen) <b>immer</b>.<br><i>(Kap. 4)</i>"
"<b>Kernidee</b>: Beweis Existenz JNF (Zusammensetzen)?";"\(V=\bigoplus\mathrm{Haupt}\); auf jedem \(\mathrm{Haupt}\) nilpotente Normalform für \((f-\lambda_j)\) \(\Rightarrow J^{(t)}(0)\); \(+\lambda_j\,\mathrm{id}\) macht daraus \(J^{(t)}(\lambda_j)\).<br><i>(Kap. 4)</i>"
"Satz: <b>Eindeutigkeit</b> der JNF?";"Eindeutig <b>bis auf Reihenfolge</b> der Blöcke; vollständige Ähnlichkeitsinvariante.<br><i>(Kap. 4)</i>"
"Formel: Anzahl Jordan-Blöcke der Größe genau \(s\) zu \(\lambda\)?";"\(\ell(s,\lambda)=2\,d_s(\lambda)-d_{s-1}(\lambda)-d_{s+1}(\lambda)\).<br><i>(Kap. 4)</i>"
"Formel: Anzahl <b>aller</b> Jordan-Blöcke zu \(\lambda\)?";"\(=d_1(\lambda)=\dim\mathrm{Eig}(f,\lambda)\) (geometrische Vielfachheit).<br><i>(Kap. 4)</i>"
"Formel: Anzahl Jordan-Blöcke der Größe \(\ge s\)?";"\(=d_s(\lambda)-d_{s-1}(\lambda)\).<br><i>(Kap. 4)</i>"
"Was ist der <b>größte</b> Jordan-Block zu \(\lambda\)?";"\(m_\lambda\) = Exponent von \((X-\lambda)\) im Minimalpolynom \(\mu_f\).<br><i>(Kap. 4)</i>"
"Was ist die <b>Summe</b> der Blockgrößen zu \(\lambda\)?";"\(n_\lambda=\dim\mathrm{Haupt}(f,\lambda)\) (algebraische Vielfachheit).<br><i>(Kap. 4)</i>"
"Satz <b>Jordan-Chevalley-Zerlegung</b>?";"Zerfällt \(\chi_f\): eindeutig \(f=f_d+f_n\) mit \(f_d\) diagonalisierbar, \(f_n\) nilpotent, \(f_d f_n=f_n f_d\).<br><i>(Kap. 4)</i>"
"<b>Algorithmus</b>: JNF berechnen (Kochrezept)?";"<ul><li>\(\chi_A\): Eigenwerte \(\lambda_j\), \(n_j\)</li><li>je \(\lambda_j\): \(d_k=\dim\ker(A-\lambda_jE)^k\) bis \(=n_j\)</li><li>\(\ell(s,\lambda_j)=2d_s-d_{s-1}-d_{s+1}\)</li><li>Blöcke zusammensetzen</li></ul><i>(Kap. 4)</i>"
"<b>Probe-Invarianten</b> beim JNF-Rechnen?";"\(\sum_s s\,\ell(s,\lambda)=n_\lambda\); \(\sum_s\ell(s,\lambda)=d_1=\dim\mathrm{Eig}\); \(\max\{s:\ell>0\}=m_\lambda\).<br><i>(Kap. 4)</i>"
"<b>Laufzeit</b> der JNF-Berechnung?";"\(\approx O(n^4)\) (pro \(\lambda\) und \(k\) eine Matrixpotenz + Rang, \(O(n^3)\)).<br><i>(Kap. 4)</i>"
"Wie bestimmt man die <b>Jordan-Basis</b> (Transformationsmatrix \(T\))?";"Je Block Kette \(u,(A-\lambda E)u,\dots\) aus höchster Kernschicht bilden; unterstes Glied \((A-\lambda E)^{a-1}u\) zuerst als Spalte; alle Ketten \(=\) Spalten von \(T\).<br><i>(Kap. 4)</i>"
"Beispiel: \(\lambda\), \(d_1=2,d_2=3,d_3=4=n_\lambda\). Blockstruktur?";"\(\ell(1)=2\cdot2-0-3=1\), \(\ell(2)=0\), \(\ell(3)=2\cdot4-3-4=1\).<br>Blöcke \(J^{(3)},J^{(1)}\). Probe: \(3+1=4\), Blockzahl \(2=d_1\).<br><i>(Kap. 4)</i>"
"Beispiel: \(\begin{psmallmatrix}5&1\\0&5\end{psmallmatrix}\) — JNF?";"\(\chi=(X-5)^2\), \(d_1=1,d_2=2\): ein Block \(J^{(2)}(5)\) — bereits JNF.<br><i>(Kap. 4)</i>"
"<b>Klausurfalle</b>: Legen \(\chi\) und \(\mu\) die JNF eindeutig fest?";"<b>Nein!</b> \(\{2,2\}\) und \(\{2,1,1\}\) haben beide \(\chi=X^4,\mu=X^2\), aber verschiedene JNF (unterscheidbar durch \(d_1\)).<br><i>(Kap. 4)</i>"
"<b>Gegenbeispiel</b>: keine JNF über \(k\)?";"\(\begin{psmallmatrix}0&-1\\1&0\end{psmallmatrix}\) über \(\mathbb{R}\): \(\chi=X^2+1\) zerfällt nicht \(\Rightarrow\) keine JNF über \(\mathbb{R}\).<br><i>(Kap. 4)</i>"
"<b>Fehler</b>: \(\mathrm{Eig}=\mathrm{Haupt}\)?";"Nur bei diagonalisierbar. Bei Blöcken \(>1\): \(\mathrm{Eig}\subsetneq\mathrm{Haupt}\) (\(J^{(3)}\) hat nur 1 Eigenvektor).<br><i>(Kap. 4)</i>"
"<b>Fehler</b>: Blockzahl = algebraische Vielfachheit?";"Falsch. Blockzahl = <b>geometrische</b> Vielfachheit \(d_1\). Summe der Blockgrößen = algebraische.<br><i>(Kap. 4)</i>"
"<b>Fehler</b>: \((A-\lambda E)^k\) vs. \(A^k-\lambda E\)?";"Erst \(A-\lambda E\) bilden, <b>dann</b> potenzieren. \(A^k-\lambda^kE\) ist eine völlig andere Matrix.<br><i>(Kap. 4)</i>"
"<b>Vergleich</b>: die vier Vielfachheiten pro \(\lambda\)?";"\(n_\lambda\) (Würfel, \(\sum s\,\ell\)); \(d_1\) (Stapel, \(\sum\ell\), = geom.); \(m_\lambda\) (Höhe, \(\max s\)); \(\ell(s,\lambda)=2d_s-d_{s-1}-d_{s+1}\).<br><i>(Kap. 4)</i>"
"<b>Transfer</b>: Sind \(A,B\) ähnlich? Wie entscheiden?";"JNF beider berechnen und Blockstruktur vergleichen (gleiche JNF bis auf Reihenfolge \(\Leftrightarrow\) ähnlich).<br><i>(Kap. 4)</i>"
"<b>Transfer</b>: Aus einer gegebenen JNF \(\chi\) und \(\mu\) ablesen?";"\(\chi=\prod(X-\lambda)^{n_\lambda}\) (\(n_\lambda=\) Summe Blockgrößen); \(\mu=\prod(X-\lambda)^{m_\lambda}\) (\(m_\lambda=\) größter Block).<br><i>(Kap. 4)</i>"
"<b>Verbindung</b>: Wie hängt Diagonalisierbarkeit mit JNF zusammen?";"Diagonalisierbar \(\Leftrightarrow\) alle Jordan-Blöcke haben Größe \(1\) \(\Leftrightarrow\mu_f\) quadratfrei.<br><i>(Kap. 4)</i>"
"Wie ist der Körper \(\mathbb{C}\) als \(\mathbb{R}\times\mathbb{R}\) definiert?";"\((a,b)+(c,d)=(a+c,b+d)\), \((a,b)\cdot(c,d)=(ac-bd,\ ad+bc)\).<br>Eins \((1,0)\), Null \((0,0)\).<br><i>(Kap. 5)</i>"
"Wie ist \(i\) definiert, und was ist \(i^2\)?";"\(i=(0,1)\); \(i^2=(0,1)(0,1)=(-1,0)=-1\).<br><i>(Kap. 5)</i>"
"Was ist die <b>alternative Konstruktion</b> von \(\mathbb{C}\)?";"\(\mathbb{C}\cong\mathbb{R}[X]/(X^2+1)\); \(\bar X\) entspricht \(i\).<br><i>(Kap. 5)</i>"
"Definiere \(\mathrm{Re}(z),\mathrm{Im}(z),|z|,\bar z\) für \(z=a+bi\).";"\(\mathrm{Re}(z)=a\), \(\mathrm{Im}(z)=b\), \(|z|=\sqrt{a^2+b^2}\), \(\bar z=a-bi\).<br><i>(Kap. 5)</i>"
"Reihen: \(\exp(z),\cos(x),\sin(x)\)?";"\(\exp(z)=\sum_{n\ge0}\frac{z^n}{n!}\), \(\cos x=\sum(-1)^n\frac{x^{2n}}{(2n)!}\), \(\sin x=\sum(-1)^n\frac{x^{2n+1}}{(2n+1)!}\).<br><i>(Kap. 5)</i>"
"Was ist die <b>Polarform</b> von \(z\neq0\)?";"\(z=r\,e^{i\alpha}\) mit \(r=|z|>0\), \(\alpha\in[0,2\pi)\).<br><i>(Kap. 5)</i>"
"<b>Motivation</b>: Warum überhaupt \(\mathbb{C}\)?";"\(\mathbb{R}\) ist nicht algebraisch abgeschlossen (\(X^2+1\) hat keine reelle Nullstelle). \(\mathbb{C}\) fügt eine Wurzel hinzu — und dann zerfällt <b>jedes</b> Polynom.<br><i>(Kap. 5)</i>"
"<b>Intuition</b>: Was ist \(\mathbb{C}\) geometrisch?";"Die Ebene mit einer <b>Drehmultiplikation</b>: \(\cdot(a+bi)\) = drehen um \(\arg\) und strecken um \(|z|\); \(i\) = Vierteldrehung (90°).<br><i>(Kap. 5)</i>"
"<b>Intuition</b>: Was ist die Konjugation \(z\mapsto\bar z\) geometrisch?";"Spiegelung an der reellen Achse.<br><i>(Kap. 5)</i>"
"<b>Warum</b> steht die Konjugation im 2. Argument des komplexen Skalarprodukts?";"Damit \(\langle v,v\rangle=\sum|v_i|^2\) reell und \(\ge0\) wird (\(z\bar z=|z|^2\)); Länge muss positiv reell sein.<br><i>(Kap. 5)</i>"
"Satz: Ist \(\mathbb{C}\) ein Körper, und was ist \(z^{-1}\)?";"Ja; für \(z\neq0\): \(z^{-1}=\dfrac{\bar z}{|z|^2}\).<br><i>(Kap. 5)</i>"
"<b>Kernidee</b>: Beweis, dass \(z^{-1}=\bar z/|z|^2\)?";"\(z\cdot\dfrac{\bar z}{|z|^2}=\dfrac{z\bar z}{|z|^2}=\dfrac{|z|^2}{|z|^2}=1\) (für \(z\neq0\) ist \(|z|^2>0\)).<br><i>(Kap. 5)</i>"
"Rechenregeln der Konjugation?";"\(\overline{z+w}=\bar z+\bar w\), \(\overline{zw}=\bar z\,\bar w\), \(\overline{\bar z}=z\); Konjugation ist Körperautomorphismus, fixiert \(\mathbb{R}\).<br><i>(Kap. 5)</i>"
"Formeln: \(z\bar z\), \(z+\bar z\), \(z-\bar z\)?";"\(z\bar z=|z|^2\); \(z+\bar z=2\mathrm{Re}(z)\); \(z-\bar z=2i\,\mathrm{Im}(z)\).<br><i>(Kap. 5)</i>"
"Eigenschaft des Betrags bei Produkten?";"\(|zw|=|z||w|\), \(|\bar z|=|z|\).<br><i>(Kap. 5)</i>"
"Satz: \(\mathbb{C}\cong\mathbb{R}[X]/(X^2+1)\) — warum ein Körper?";"Weil \(X^2+1\) über \(\mathbb{R}\) <b>irreduzibel</b> ist (\(k[X]/(P)\) Körper \(\Leftrightarrow P\) irreduzibel).<br><i>(Kap. 5)</i>"
